,VaR
2022-05-10,0.004196255646097218
2022-05-11,0.003937168463570446
2022-05-12,0.003889126343816298
2022-05-13,0.004292210436898206
2022-05-16,0.003912886107288505
2022-05-17,0.0038965384899407435
2022-05-18,0.003655486082535721
2022-05-19,0.0035538599565519097
2022-05-20,0.003535348237148236
2022-05-23,0.003577138084959721
2022-05-24,0.0035726963978202535
2022-05-25,0.003182489766654267
2022-05-26,0.003564227558873433
2022-05-27,0.0034769287343611632
2022-05-31,
2022-06-01,0.02317793343123321
2022-06-02,0.023073409580471792
2022-06-03,0.01319085940140966
2022-06-06,0.017019497742892856
2022-06-07,0.01325568202530929
2022-06-08,0.01700924978702159
2022-06-09,0.017135263622723006
2022-06-10,0.011231149367600527
2022-06-13,0.010928432351275429
2022-06-14,0.006687019570246648
2022-06-15,0.00815817208382069
2022-06-16,0.007159385154294245
2022-06-17,0.005607044072790002
2022-06-21,0.006400407550661354
2022-06-22,0.005855343768390382
2022-06-23,0.005853437447109981
2022-06-24,0.007379268703941219
2022-06-27,0.008864567267529953
2022-06-28,0.011683707013562
2022-06-29,0.00928849234641792
2022-06-30,
2022-07-01,0.017836790488184685
2022-07-05,0.013117316299007885
2022-07-06,0.01540539642479154
2022-07-07,0.014518827124954472
2022-07-08,0.01677648616065846
2022-07-11,0.01679611404411456
2022-07-12,0.01516090510206065
2022-07-13,0.015222528743802591
2022-07-14,0.016312696702155672
2022-07-15,0.014493610692067827
2022-07-18,0.014528587544045818
2022-07-19,0.01455092649687871
2022-07-20,0.013513609050135805
2022-07-21,0.01241473798337166
2022-07-22,0.013061344747447488
2022-07-25,0.01366154428299434
2022-07-26,0.013580107966936697
2022-07-27,0.012754754075498514
2022-07-28,0.013022874423343798
2022-07-29,
2022-08-01,0.009135338864462269
2022-08-02,0.006143205224162947
2022-08-03,0.00582541879790144
2022-08-04,0.005743389938258632
2022-08-05,0.009136305865545485
2022-08-08,0.009299456423908496
2022-08-09,0.010446259865893294
2022-08-10,0.01060226183880736
2022-08-11,0.007869266744314988
2022-08-12,0.00798095672162818
2022-08-15,0.007171485641434823
2022-08-16,0.007887840901171788
2022-08-17,0.0077069098584245255
2022-08-18,0.009002033127317562
2022-08-19,0.007796968799772955
2022-08-22,0.007583067927574938
2022-08-23,0.007901751064258507
2022-08-24,0.007924008418993737
2022-08-25,0.007691928649075758
2022-08-26,0.008571423512199822
2022-08-29,0.0070445304434158754
2022-08-30,0.006979979408868577
2022-08-31,
2022-09-01,0.004157031683076971
2022-09-02,0.009254325639379201
2022-09-06,0.00912232940132244
2022-09-07,0.009070362484340792
2022-09-08,0.0069049750481848995
2022-09-09,0.007528286086807283
2022-09-12,0.0075376321068815295
2022-09-13,0.008484942802014698
2022-09-14,0.008553620750574654
2022-09-15,0.011070184134858998
2022-09-16,0.010987738218861573
2022-09-19,0.010960043369050439
2022-09-20,0.010898070017617214
2022-09-21,0.009845017653939105
2022-09-22,0.011904865768936098
2022-09-23,0.008205209004623633
2022-09-26,0.00726663910545519
2022-09-27,0.006385690787337727
2022-09-28,0.007214408838606485
2022-09-29,0.008344760707434404
2022-09-30,
2022-10-03,0.012238486270200572
2022-10-04,0.014301200552168564
2022-10-05,0.010498180155995478
2022-10-06,0.011941199703625149
2022-10-07,0.0075807314154887765
2022-10-10,0.009370352940294755
